ID-datalake,nct_id,brief_title,phase,phase_int,phase_numeric,trial_type,recruitment_status,start_date,completion_date,primary_completion_date,start_year,trial_duration_days,enrollment,enrollment_type,flag_date_inconsistency,flag_missing_enrollment_type,flag_estimated_enrollment_on_completed,indications,primary_indication,broad_category,interventions_drugs_clean,intervention_categories,has_drug,main_technologies,primary_technology,target_abbreviations,primary_target,drugs_datalake
61690,NCT06669572,Lenvatinib and Pembrolizumab to Treat Patients With Anal or Rectum Cancer That Has Gotten Worse After Initial Treatment,PHASE2,2.0,2.0,standard,NOT_YET_RECRUITING,2026-01-13,2029-03-26,2029-03-26,2026.0,1168.0,35.0,ESTIMATED,False,False,False,"['Anorectal Cancer', 'Epithelial Neoplasm']",Anorectal Cancer,Colorectal Cancer,"['Pembrolizumab', 'Lenvatinib']","['drug', 'drug']",True,"[['Antibody'], ['Small Molecule']]",Antibody,"[['PD-1'], ['FGFR1', 'FGFR2', 'FGFR3', 'FGFR4', 'PDGFRÎ±', 'c-Kit', 'RET', 'VEGFR1', 'VEGFR2', 'VEGFR3']]",PD-1,"['B936', 'B261']"
63117,NCT06883552,"An Open-label, Single-arm Clinical Study of Stapokibart Injection in Combination with Tislelizumab Injection in Patients with Non-Small Cell Lung Cancer",PHASE2,2.0,2.0,standard,NOT_YET_RECRUITING,2025-10-01,2026-10-01,2026-10-01,2025.0,365.0,21.0,ESTIMATED,False,False,False,['Thoracic Neoplasm'],Thoracic Neoplasm,Lung Cancer,['Tislelizumab'],['drug'],True,[['Antibody']],Antibody,[['PD-1']],PD-1,['B1344']
56177,NCT06366490,Safety and Immunogenicity of Innocell Autologous Cellular Immunotherapy in Recurrent Epithelial Ovarian Cancer,PHASE1,1.0,1.0,standard,NOT_YET_RECRUITING,2025-06-30,2026-06-30,2025-12-30,2025.0,365.0,8.0,ESTIMATED,False,False,False,['Ovarian Cancer'],Ovarian Cancer,Gynecologic Cancer,['Innocell'],['drug'],True,[['Cancer Vaccine']],Cancer Vaccine,[[]],Unknown,['B11796']
62820,NCT06835387,Study of NALIRIFOX in Advanced Unresectable Small Bowel Tumors,PHASE2,2.0,2.0,standard,RECRUITING,2025-05-31,2028-08-31,2027-08-31,2025.0,1188.0,36.0,ESTIMATED,False,False,False,['Small Intestinal Adenocarcinoma'],Small Intestinal Adenocarcinoma,Other Cancer,"['Irinotecan Sucrosofate', 'Dexamethasone', '5-HT3 Receptor Antagonist', 'Oxaliplatin', 'Fluorouracil', 'Folinic acid']","['drug', 'drug', 'drug', 'drug', 'drug', 'drug']",True,"[['Small Molecule'], ['Small Molecule'], ['Small Molecule'], []]",Small Molecule,"[['GR'], ['DNA'], ['TYMS'], []]",GR,"['B1128', 'B1229', 'B493', 'B226']"
63206,NCT06896188,"9-ING-41 Combined with Retifanlimab, Plus Modified FOLFIRINOX for Patients with Advanced Pancreatic Adenocarcinoma (RiLEY)",PHASE1,1.0,1.0,standard,NOT_YET_RECRUITING,2025-05-31,2028-12-31,2027-05-31,2025.0,1310.0,12.0,ESTIMATED,False,False,False,['Pancreatic Cancer'],Pancreatic Cancer,Pancreatic Cancer,"['Retifanlimab', 'Oxaliplatin', 'Folinic acid', 'Irinotecan', 'Fluorouracil', 'Elraglusib']","['drug', 'drug', 'drug', 'drug', 'drug', 'drug']",True,"[['Antibody'], ['Small Molecule'], [], ['Small Molecule'], ['Small Molecule'], ['Small Molecule']]",Antibody,"[['PD-1'], ['DNA'], [], ['TOP1'], ['TYMS'], ['GSK-3Î²']]",PD-1,"['B1394', 'B1229', 'B226', 'B1679', 'B493', 'B1684']"
62724,NCT06822972,HCMT/MM2401: Ph2 Study of Selinexor + Bispecific Antibody for RRMM,PHASE2,2.0,2.0,standard,NOT_YET_RECRUITING,2025-05-01,2027-12-31,2026-04-30,2025.0,974.0,27.0,ESTIMATED,False,False,False,"['Multiple Myeloma', 'Multiple Myeloma']",Multiple Myeloma,Multiple Myeloma,['Selinexor'],['drug'],True,[['Small Molecule']],Small Molecule,[['XPO1']],XPO1,['B1030']
63277,NCT06906562,A Phase II Telemedicine Study of Pemigatinib in Adult Patients With Advanced or Metastatic Pancreas Cancer With FGFR Genetic Alterations,PHASE2,2.0,2.0,standard,NOT_YET_RECRUITING,2025-05-01,2026-12-31,2026-12-31,2025.0,609.0,40.0,ESTIMATED,False,False,False,"['Pancreatic Cancer', 'FGFR Mutation', 'Renal Cell Carcinoma', 'FGFR2 Gene Translocation', 'Pancreatic Cancer', 'Epithelial Neoplasm']",Pancreatic Cancer,Pancreatic Cancer,"['Pemigatinib', 'Computed Tomography Colonography', 'Magnetic Resonance Imaging']","['drug', 'imaging', 'imaging']",True,[['Small Molecule']],Small Molecule,"[['FGFR1', 'FGFR2', 'FGFR3']]",FGFR1,['B1274']
55910,NCT06328036,Testing the Combination of Anti-cancer Drugs Tiragolumab and Atezolizumab to Improve Outcomes for Patients With Recurrent Glioblastoma,PHASE2,2.0,2.0,standard,WITHDRAWN,2025-04-30,2025-07-01,2025-07-01,2025.0,62.0,0.0,ACTUAL,False,False,False,['Glioblastoma'],Glioblastoma,Brain Cancer,"['Atezolizumab', 'Biospecimen Collection', 'Magnetic Resonance Imaging', 'Surgical Procedure', 'Tiragolumab']","['drug', 'diagnostic', 'imaging', 'surgery', 'drug']",True,"[['Antibody'], ['Antibody']]",Antibody,"[['PDL1'], ['TIGIT']]",PDL1,"['B1084', 'B1397']"
54225,NCT06066138,A Study of Therapeutic Drug Monitoring-Based Atezolizumab Dosing,PHASE1,1.0,1.0,standard,RECRUITING,2025-04-10,2027-01-31,2026-01-31,2025.0,661.0,40.0,ESTIMATED,False,False,False,"['Soft Tissue Sarcoma', 'Soft Tissue Sarcoma', 'Non-Small Cell Lung Cancer', 'Epithelial Neoplasm', 'Neuroendocrine Carcinoma', 'Epithelial Neoplasm', 'Hepatocellular Carcinoma', 'Hepatocellular Carcinoma', 'Skin Melanoma', 'Metastatic Melanoma']",Soft Tissue Sarcoma,Sarcoma,['Atezolizumab'],['drug'],True,[['Antibody']],Antibody,[['PDL1']],PDL1,['B1084']
63290,NCT06908031,SCRT + mFOLFOX6 + PD-1 Antibody + Targeted Therapy for HIgh-Risk pMMR/MSS Rectal Cancer,PHASE3,3.0,3.0,standard,RECRUITING,2025-04-02,2027-04-01,2027-04-01,2025.0,729.0,49.0,ESTIMATED,False,False,False,"['Osteosarcoma', 'MSS', 'Rectal Carcinoma']",Osteosarcoma,Sarcoma,"['Radiation Therapy', 'Iparomlimab', 'mFOLFOX6', 'Cetuximab', 'Bevacizumab', 'Resection']","['radiation', 'drug', 'drug', 'drug', 'drug', 'surgery']",True,"[['Antibody'], ['Antibody'], ['Antibody']]",Antibody,"[['PD-1'], ['EGFR'], ['VEGF-A']]",PD-1,"['B4868', 'B164', 'B167']"
